catchment_min,outcome,specification,family,N,term,estimate,std_error,statistic,p_value,conf_low,conf_high,inference,term_label,significance
30,physical,controlled,SAR_error,114,z_shelter,0.04525903035239384,0.12089171050986026,0.374376623190408,0.7081241325012324,-0.19168872224693229,0.28220678295171997,SAR model-based,Principal accommodation expenditure,
30,physical,controlled,SAR_error,114,z_low_income,0.4174234439625358,0.11074049880058587,3.769383816070796,1.636510654068335e-4,0.20037206631338747,0.6344748216116841,SAR model-based,Low-income residents (%),***
30,physical,controlled,SAR_error,114,z_bachelors,-0.04529513930559764,0.13591423572530034,-0.33326265687977513,0.7389360252081825,-0.31168704132718633,0.22109676271599105,SAR model-based,Bachelor's degree or higher (%),
30,physical,controlled,SAR_error,114,z_visible_minority,-0.26513361278767494,0.10806116320897137,-2.4535513492016827,0.014145334211807636,-0.4769334926772588,-0.05333373289809107,SAR model-based,Visible-minority residents (%),*
30,physical,controlled,SAR_error,114,z_indigenous,-0.09857315670115045,0.06650817395917269,-1.4821209309048458,0.13830812039420937,-0.2289291776611289,0.03178286425882802,SAR model-based,Indigenous identity residents (%),
30,visual,controlled,SAR_lag,114,z_shelter,0.09927591670928053,0.11533164992968076,0.8607864083259918,0.38935569213594023,-0.12677411715289377,0.3253259505714548,SAR model-based,Principal accommodation expenditure,
30,visual,controlled,SAR_lag,114,z_low_income,-0.08871174139348913,0.13529975648658718,-0.6556681526790736,0.5120376642825561,-0.3538992641072,0.17647578132022174,SAR model-based,Low-income residents (%),
30,visual,controlled,SAR_lag,114,z_bachelors,-0.1443960624848657,0.1276672714724123,-1.1310342957871418,0.25804065678594945,-0.3946239145707938,0.10583178960106243,SAR model-based,Bachelor's degree or higher (%),
30,visual,controlled,SAR_lag,114,z_visible_minority,0.17117690579614722,0.11067251567378376,1.5466975224517807,0.1219362008192808,-0.04574122492446894,0.38809503651676336,SAR model-based,Visible-minority residents (%),
30,visual,controlled,SAR_lag,114,z_indigenous,-0.07606905258314664,0.08630136660443762,-0.8814350870225405,0.378082373768847,-0.24521973112784437,0.09308162596155109,SAR model-based,Indigenous identity residents (%),
30,haptic,controlled,OLS,114,z_shelter,0.04399515928601717,0.1000785850343994,0.4396061282330779,0.6611345375375346,-0.15215886738140566,0.24014918595343998,HC3 robust,Principal accommodation expenditure,
30,haptic,controlled,OLS,114,z_low_income,0.023120022982078447,0.12055790115493766,0.19177526118645047,0.8482921852959165,-0.21317346328159936,0.25941350924575624,HC3 robust,Low-income residents (%),
30,haptic,controlled,OLS,114,z_bachelors,0.012799540033333608,0.10980538271268098,0.11656568846743286,0.9074290281950819,-0.2024190100835211,0.2280180901501883,HC3 robust,Bachelor's degree or higher (%),
30,haptic,controlled,OLS,114,z_visible_minority,-0.027737174108814846,0.10515672146810975,-0.263769863890503,0.7924791953892746,-0.23384434818630997,0.17836999996868028,HC3 robust,Visible-minority residents (%),
30,haptic,controlled,OLS,114,z_indigenous,0.05747698717876439,0.0679280639430402,0.8461449339548472,0.39941460113438887,-0.07566201814959439,0.1906159925071232,HC3 robust,Indigenous identity residents (%),
30,multidimensional,controlled,OLS,114,z_shelter,-0.010932128779121333,0.11999006603372214,-0.0911086154086202,0.9275815387403374,-0.24611265820521674,0.22424840064697407,HC3 robust,Principal accommodation expenditure,
30,multidimensional,controlled,OLS,114,z_low_income,0.1021336754871486,0.1448500705757101,0.7050992455938465,0.4823246647912376,-0.18177246284124318,0.3860398138155404,HC3 robust,Low-income residents (%),
30,multidimensional,controlled,OLS,114,z_bachelors,0.008813165635632425,0.15958289825561464,0.05522625376508569,0.9560641687356849,-0.30396931494537227,0.32159564621663717,HC3 robust,Bachelor's degree or higher (%),
30,multidimensional,controlled,OLS,114,z_visible_minority,0.08874936126011208,0.13020132074699572,0.6816318048921166,0.4969869285123556,-0.16644522740399953,0.34394394992422367,HC3 robust,Visible-minority residents (%),
30,multidimensional,controlled,OLS,114,z_indigenous,-0.053754637844969415,0.11354347125990295,-0.47342781798456846,0.6369002412011762,-0.2762998415143792,0.16879056582444035,HC3 robust,Indigenous identity residents (%),
